;Barcode;Title;Year;Location
367.2;TM042037;Funktiestudie betreffende de confectie;1985;Bibliotheek AMFI
367.2;TM042038;Funktiestudie betreffende de confectie;1985;Bibliotheek AMFI
367.2;TM042913;Scholingscatalogus voor de confectie-industrie;1992;Bibliotheek AMFI
367.3;TM024182;Handleiding risico-inventarisatie en -evaluatie voor confectie-ondernemingen;1996;Bibliotheek AMFI
367.7;TM000023;Confectie;1990;Bibliotheek AMFI
367.7;TM010081;Trendstudie kwalificaties en beroepen confectie-industrie;1994;Bibliotheek AMFI
367.7;TM000175;Nieuwe produktieconcepten in de confectie-industrie;1994;Bibliotheek AMFI
367.7;FM003667;Ergonomics in the apparel and textile industries;1991;Bibliotheek AMFI
367.7;TM042800;Groepswerk in de confectie;1992;Bibliotheek AMFI
367.7;TM042776;Nieuwe produktiemethoden voor de kledingindustrie;1991;Bibliotheek AMFI
367.7;TM000500;Synergetisch produceren;1994;Bibliotheek AMFI
367.7;TM042202;Ausbildung, Weiterbildung;1982;Bibliotheek AMFI
369.1;TM024639;The end of fashion;1999;Bibliotheek AMFI
369.1;HV030270;Brand relations management;2004;Bibliotheek AMFI
369.1;TM000526;Fashion marketing;1994;Bibliotheek AMFI
369.1;HV009681;Who's afraid of Niketown?;2004;Bibliotheek AMFI
369.1;HV046261;Fashion forecasting;2005;Bibliotheek AMFI
369.1;TM000353;Monitoronderzoek naar koopstromen rond winkelgebieden;1995;Bibliotheek AMFI
369.1;TM000313;Die Handhabung des Moderisikos;1994;Bibliotheek AMFI
369.1;HV003665;Free gift inside!;2003;Bibliotheek AMFI
369.1;TM011424;Marketing research;1995;Bibliotheek AMFI
369.1;TM009888;Marketing textiles;1989;Bibliotheek AMFI
 369.1  1980;TM042201;Consument en textieldetaillist in een sterk gewijzigde markt;1980;Bibliotheek AMFI
369.1;TM042976;Retail marketing;1991;Bibliotheek AMFI
369.1;TM024418;Fashion marketing and PR;1998;Bibliotheek AMFI
369.1;TM041954;Duidelijk in beeld;1986;Bibliotheek AMFI
369.1;TM016559;Kommer en kwel in de confectie;1993;Bibliotheek AMFI
369.1;TM014265;Erfolgreiches Beziehungsmarketing in der textilen Kette;2000;Bibliotheek AMFI
369.1;HV112623;Fashion trends;2011;Bibliotheek AMFI
369.1;HV084531;Fashion marketing;2007;Bibliotheek AMFI
369.1;HV075392;Fashion marketing;2007;Bibliotheek AMFI
369.1;FM002773;Fashion marketing;2001;Bibliotheek AMFI
369.1;HV068377;Fashion marketing;2009;Bibliotheek AMFI
369.1;HV017635;Forecasting;2001;Bibliotheek AMFI
369.1;FM002973;Praxisorientiertes Marketing im Textileinzelhandel;2001;Bibliotheek AMFI
369.1;HV036418;The SWOCC book of brand management models;2006;Bibliotheek AMFI
369.1;HV104199;Why yesterday tells of tomorrow;2001;Bibliotheek AMFI
369.1;TM016477;Virtuele tomaten en conceptuele pindakaas;1996;Bibliotheek AMFI
 369.1 É;FM002885;Emotional branding;2001;Bibliotheek AMFI
369.1;HV017072;After image;2003;Bibliotheek AMFI
369.1;HV114542;Fashion branding unraveled;2011;Bibliotheek AMFI
369.1;HV004952;Louis Vuitton Japan;2004;Bibliotheek AMFI
369.1;TM041952;"""Help ons""";1982;Bibliotheek AMFI
369.1;TM010596;Internet und Mode-Marketing;1997;Bibliotheek AMFI
369.1;TM016168;Introduction to fashion merchandising;1994;Bibliotheek AMFI
369.1;HV114564;Mastering fashion marketing;2009;Bibliotheek AMFI
369.1;TM014340;Superbrands;1999;Bibliotheek AMFI
369.1;TM017105;Gevolgen van veranderende t?dsbesteding voor de detailhandel;1998;Bibliotheek AMFI
369.1;HV096463;Fashion forecasting;2008;Bibliotheek AMFI
369.1;TM000210;Retail marketing;1990;Bibliotheek AMFI
369.1;TM042204;Model '84;1984;Bibliotheek AMFI
369.1;HV016510;Mode, Marken, Märkte;2002;Bibliotheek AMFI
369.1;FM003360;Marketing today's fashion;1995;Bibliotheek AMFI
369.1;HV002291;The brand gap;2003;Bibliotheek AMFI
369.1;HV078907;Luxury fashion branding;2007;Bibliotheek AMFI
369.1;HV012786;Wally Olins on brand;2003;Bibliotheek AMFI
369.1;TM041699;Oriënterend onderzoek inzake problematiek afwijkende maten in de confectie;1983;Bibliotheek AMFI
369.1;TM041494;Mode & marketing;1991;Bibliotheek AMFI
369.1;TM017100;Kooperatives Handelsmarketing in der Bekleidungsindustrie;1998;Bibliotheek AMFI
369.1;TM042874;Marketing today's fashion;1986;Bibliotheek AMFI
369.1;TM014252;EVEolution;2000;Bibliotheek AMFI
369.1;HV038954;How to market design consultancy services;2004;Bibliotheek AMFI
369.1;HV068421;Principles of marketing;2008;Bibliotheek AMFI
369.1;TM014341;The 22 immutable laws of branding;2000;Bibliotheek AMFI
369.1;HV040687;Concepting;1998;Bibliotheek AMFI
369.1;FM006191;Van trends naar brands;2001;Bibliotheek AMFI
369.1;HV057533;Fashion brands;2005;Bibliotheek AMFI
369.1;TM011433;Strategische marketing;1994;Bibliotheek AMFI
369.1;TM042203;"Memorandum t.b.v. de Hogere Technische School ""Mr. Koetsier""";1985;Bibliotheek AMFI
369.1;TM016007;Marketing moet, ook in de mode;1992;Bibliotheek AMFI
369.11;HV021825;Kundenkarten im Einzelhandel;2002;Bibliotheek AMFI
