Callnumber;Barcode;Title;Year;Location
AMFI: 369.13 VEJL;HV062479;Anatomy of a trend;2008;Bibliotheek AMFI
AMFI: 369.13 WALV;HV092235;Branding with brains;2010;Bibliotheek AMFI
AMFI: 369.13 YPER;HV001099;Kun je wel jezelf z?n in een damesmodewinkel?;2004;Bibliotheek AMFI
AMFI: 369.13 ZUKI;HV046023;Point of purchase;2004;Bibliotheek AMFI
AMFI: 369.14 CHIS;TM042733;Strategic industrial marketing;1989;Bibliotheek AMFI
AMFI: 369.15 SIEM;FM002578;Events im Textileinzelhandel;2001;Bibliotheek AMFI
AMFI: 369.15 TONG;HV014055;Retail branding;2003;Bibliotheek AMFI
AMFI: 369.2 ANKL;TM010960;Kalkulation und Preispolitik im Textil-Einzelhandel;1997;Bibliotheek AMFI
AMFI: 369.2 OS;TM000393;Demodebrache in de uitverkoop;1994;Bibliotheek AMFI
AMFI: 369.3 SHER;HV037866;The real world guide to fashion selling and management;2007;Bibliotheek AMFI
AMFI: 369.4 BOER;HV088735;Brand design;2007;Bibliotheek AMFI
AMFI: 369.4 BOER;HV111162;Brand design;2011;Bibliotheek AMFI
AMFI: 369.4 BRIE;HV021892;The advertising handbook;2002;Bibliotheek AMFI
AMFI: 369.4 COUT;HV114546;Couture graphique;2013;Bibliotheek AMFI
AMFI: 369.4 COX;HV130663;Luxury fashion;2013;Bibliotheek AMFI
AMFI: 369.4 DAVI;HV075288;More than a name;2005;Bibliotheek AMFI
